County,Population
Montgomery,1043530
Prince Georges,908670
Baltimore County,828018
Baltimore City,609032
Anne Arundel,571275
Howard,318855
Harford,252222
Frederick,251422
Carroll,167699
Charles,159428
Washington,150109
St Marys,112290
Cecil,102552
Wicomico,102539
Calvert,91511
Allegany,71445
Worcester,51765
Queen Annes,49632
Talbot,37167
Caroline,33049
Dorchester,32138
Garrett,29235
Somerset,25729
Kent,19536
