geoid,name,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0052E,DP05_0071PE,DP05_0044PE
24510271900,"Census Tract 2719, Baltimore city, Maryland",21.40,76.80,0.00,6.00,0.00,4.40
24510272003,"Census Tract 2720.03, Baltimore city, Maryland",63.90,26.60,0.40,0.00,10.10,4.40
24510272004,"Census Tract 2720.04, Baltimore city, Maryland",70.50,20.20,0.00,18.00,5.10,4.40
24510272005,"Census Tract 2720.05, Baltimore city, Maryland",87.60,11.80,0.00,0.00,1.50,4.40
24510272006,"Census Tract 2720.06, Baltimore city, Maryland",49.70,48.10,0.00,0.00,2.50,4.40
24510272007,"Census Tract 2720.07, Baltimore city, Maryland",47.60,48.30,0.00,6.00,5.40,4.40
24510280101,"Census Tract 2801.01, Baltimore city, Maryland",6.10,92.30,0.20,0.00,3.60,4.40
24510280102,"Census Tract 2801.02, Baltimore city, Maryland",2.60,97.40,0.00,0.00,1.80,4.40
24510280200,"Census Tract 2802, Baltimore city, Maryland",5.00,89.80,0.20,0.00,1.10,4.40
24510280301,"Census Tract 2803.01, Baltimore city, Maryland",7.60,85.10,0.00,22.00,0.90,4.40
24510280302,"Census Tract 2803.02, Baltimore city, Maryland",4.20,86.70,0.40,0.00,0.60,4.40
24510280401,"Census Tract 2804.01, Baltimore city, Maryland",14.50,81.60,0.00,0.00,0.70,4.40
24510280402,"Census Tract 2804.02, Baltimore city, Maryland",0.10,98.10,0.00,0.00,1.70,4.40
24510280403,"Census Tract 2804.03, Baltimore city, Maryland",23.10,73.80,0.00,0.00,1.20,4.40
24510280404,"Census Tract 2804.04, Baltimore city, Maryland",4.70,89.50,0.70,0.00,4.10,4.40
24510280500,"Census Tract 2805, Baltimore city, Maryland",5.30,93.50,0.00,0.00,0.70,4.40
