OBJECTID,DATE,Allegany,Anne Arundel,Baltimore County,Baltimore City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince Georges,Queen Annes,Somerset,St Marys,Talbot,Washington,Wicomico,Worcester
198,2020/10/17 14:00:00+00,23,251,630,479,27,8,125,35,99,10,129,1,73,117,22,820,819,25,5,59,6,42,49,29
199,2020/10/18 14:00:00+00,23,251,630,479,27,8,125,35,99,10,129,1,74,117,22,820,821,25,5,59,6,42,49,29
200,2020/10/19 14:00:00+00,23,251,630,479,27,8,125,35,99,10,129,1,74,118,22,820,822,25,5,59,6,42,49,29
201,2020/10/20 14:00:00+00,23,252,631,479,27,8,125,35,99,10,129,1,75,118,22,821,822,25,5,59,6,42,49,29
202,2020/10/21 14:00:00+00,23,253,633,480,27,8,125,35,99,10,130,1,76,118,22,822,824,25,5,59,6,42,49,29
203,2020/10/22 14:00:00+00,23,254,635,481,27,8,126,35,99,10,130,1,76,118,22,823,828,25,6,59,6,42,49,29
204,2020/10/23 14:00:00+00,23,255,638,482,27,8,126,35,99,10,129,1,76,118,22,823,829,25,6,60,6,42,49,29
205,2020/10/24 14:00:00+00,23,256,639,484,27,8,126,35,100,10,130,1,77,118,22,824,829,25,6,60,6,42,50,29
206,2020/10/25 14:00:00+00,23,258,642,484,27,8,126,35,100,10,130,1,77,120,23,827,829,25,6,60,6,43,50,30
207,2020/10/26 14:00:00+00,23,260,642,484,27,8,126,35,100,10,130,1,77,120,23,827,830,25,6,60,6,43,50,30
208,2020/10/27 14:00:00+00,24,260,642,484,27,8,126,35,100,10,131,1,77,120,23,829,830,25,6,60,6,44,51,30
209,2020/10/28 14:00:00+00,24,261,643,485,27,8,126,35,100,10,131,1,77,120,23,830,835,25,6,60,6,44,51,30
210,2020/10/29 14:00:00+00,24,262,646,485,28,8,126,35,100,11,131,1,77,121,23,832,835,25,6,60,6,44,51,30
211,2020/10/30 14:00:00+00,24,263,649,486,28,8,126,35,100,12,131,1,78,121,23,832,835,25,6,60,6,46,51,30
212,2020/10/31 14:00:00+00,24,266,650,486,28,8,126,35,100,12,131,1,78,121,23,833,839,25,6,60,6,46,51,30
213,2020/11/01 15:00:00+00,24,269,651,488,28,8,127,35,100,12,131,1,78,123,23,833,839,25,6,60,6,47,51,30
214,2020/11/02 15:00:00+00,24,270,652,488,28,8,127,35,100,12,131,1,78,122,23,834,839,25,6,60,6,47,51,30
215,2020/11/03 15:00:00+00,24,270,653,490,28,8,127,35,100,12,132,1,78,122,23,835,839,25,6,60,6,47,52,30
216,2020/11/04 15:00:00+00,24,271,655,490,28,8,127,35,100,12,132,1,78,123,23,837,840,25,6,61,6,48,52,30
217,2020/11/05 15:00:00+00,25,271,658,491,28,8,127,35,100,12,132,1,78,123,24,841,841,25,6,61,6,47,52,30
218,2020/11/06 15:00:00+00,26,271,658,493,28,8,127,35,100,12,132,1,78,123,24,845,845,25,6,60,6,47,52,30
219,2020/11/07 15:00:00+00,26,271,660,497,28,8,127,35,100,12,132,1,79,122,24,847,845,25,7,60,6,47,52,30
220,2020/11/08 15:00:00+00,26,271,660,497,28,9,127,35,100,13,132,1,80,123,24,848,846,25,7,60,6,47,52,30
221,2020/11/09 15:00:00+00,26,271,662,499,28,9,127,35,100,13,132,1,80,123,24,851,847,25,7,60,6,47,52,30
222,2020/11/10 15:00:00+00,28,271,664,499,28,9,127,35,100,13,132,1,80,123,24,855,849,25,7,60,6,47,52,30
223,2020/11/11 15:00:00+00,29,272,664,500,28,9,127,36,100,13,132,1,80,124,24,858,852,25,7,60,6,49,54,30
224,2020/11/12 15:00:00+00,29,274,666,501,28,9,127,36,102,13,132,1,81,125,24,860,854,25,8,60,7,49,54,30
225,2020/11/13 15:00:00+00,29,275,667,503,29,9,127,36,102,13,132,1,81,125,24,862,856,26,8,60,7,49,54,30
226,2020/11/14 15:00:00+00,31,276,668,504,29,9,128,36,102,13,132,1,81,125,24,864,859,26,8,60,7,51,54,31
227,2020/11/15 15:00:00+00,32,276,668,508,29,9,128,36,102,14,133,1,82,126,24,868,865,26,8,60,7,52,55,31
228,2020/11/16 15:00:00+00,33,276,668,509,29,9,128,36,102,14,133,1,82,126,24,871,866,26,8,60,7,53,55,31
229,2020/11/17 15:00:00+00,35,276,671,512,29,9,128,36,102,14,133,1,83,126,24,874,870,26,8,60,7,54,55,31
230,2020/11/18 15:00:00+00,39,276,674,513,30,9,129,36,102,14,134,1,84,126,24,875,875,26,8,60,7,55,55,32
231,2020/11/19 15:00:00+00,44,276,676,513,30,9,130,36,102,14,135,2,84,127,24,878,878,26,8,60,7,56,55,32
232,2020/11/20 15:00:00+00,46,279,677,513,30,9,131,36,102,15,135,3,84,128,24,881,878,26,8,60,7,57,55,34
233,2020/11/21 15:00:00+00,48,282,679,518,30,9,131,37,102,15,137,3,84,128,24,887,882,26,8,61,7,58,55,34
234,2020/11/22 15:00:00+00,52,282,679,520,30,9,131,37,102,15,137,3,85,128,24,889,882,26,8,61,7,59,55,34
235,2020/11/23 15:00:00+00,55,284,682,523,31,9,131,37,102,15,138,4,85,129,24,890,882,26,8,61,7,60,56,35
236,2020/11/24 15:00:00+00,59,284,686,525,32,10,131,37,102,15,138,4,89,130,24,893,884,26,8,61,7,61,57,35
237,2020/11/25 15:00:00+00,60,285,692,528,32,10,131,37,103,15,138,4,91,131,23,894,888,26,8,61,7,63,58,35
238,2020/11/26 15:00:00+00,64,286,697,534,35,10,132,39,103,15,138,4,91,133,23,897,896,26,8,61,7,69,59,35
239,2020/11/27 15:00:00+00,64,286,701,538,35,10,132,39,103,15,138,4,91,133,23,902,898,26,8,61,7,69,59,36
240,2020/11/28 15:00:00+00,69,286,706,542,36,10,132,40,103,15,140,4,92,137,23,905,900,26,9,61,7,69,59,35
241,2020/11/29 15:00:00+00,71,286,707,545,36,10,133,40,103,15,142,5,94,139,23,909,902,26,9,61,7,70,59,35
242,2020/11/30 15:00:00+00,72,286,710,547,36,10,133,40,103,15,142,5,94,140,23,912,906,26,9,62,7,71,59,37
243,2020/12/01 15:00:00+00,74,285,715,548,36,10,135,40,102,15,142,6,99,142,23,918,911,26,9,62,7,73,59,37
244,2020/12/02 15:00:00+00,80,285,718,557,37,10,135,45,102,16,142,8,100,143,23,924,913,26,9,62,7,77,59,38
